;and a bit of angst;Original Character(s);Alternate Universe - Modern Setting;Alternate Universe;Magic;Fantasy;Action/Adventure;Violence;Hurt/Comfort;Emotional Hurt/Comfort;Found Family;Alpha/Beta/Omega Dynamics;no beta we die like jason todd;Alternate Universe - Canon Divergence;Established Relationship;Fluff;Fix-It;Smut;PWP;lil bit of angst;Not Beta Read;Character Death;Original Character;Original Female Character(s);Friends to Lovers;Slow Burn;Post-Traumatic Stress Disorder - PTSD;Fluff and Angst;Romance;Other Additional Tags to Be Added;Friendship;Canon Related;Love;Steve Rogers;Natasha Romanov (Marvel);Tony Stark;James "Bucky" Barnes;Clint Barton;Domestic Fluff;One Shot;Post-Canon;Humor;Crack;Rough Sex;Drugs;Angst;Art;Blood;Swearing;Alternate Universe - Canon;Modern Era;Angst and Hurt/Comfort;Oral Sex;Anal Sex;Original Male Character(s);Bondage;Fluff and Smut;Alternate Universe - College/University;Falling In Love;Canon Compliant;Mutual Pining;Love Confessions;Explicit Sexual Content;Angst with a Happy Ending;Dirty Talk;Vaginal Sex;Mild Angst;First Kiss;Pre-Relationship;Canon-Typical Violence;Pining;Incest;Polyamory;Sex Toys;Background Relationships;Dom/sub;Death;Blow Jobs;Alcohol;Slow Build;Kissing;Longing;First Time;College;Mild Sexual Content;Jealousy;Torture;Reader;Sexual Content;Anal Play;Depression;College AU;Drug Use;AU;Mental Health Issues;OMC;BDSM;Feels;Tooth-Rotting Fluff;Happy Ending;Homosexuality;friends - Freeform;Suicide;Anal Fingering;Sad;Drabble;Fluff and Humor;Plot What Plot/Porn Without Plot;Soulmates;soul mates;Crossovers & Fandom Fusions;Cuddling & Snuggling;Drama;Hand Job;alternative universe;Sex;Siblings;Friendship/Love;Cute;Dreams and Nightmares;Light Angst;University;Hermione Granger;Domestic;blowjob;Threesome;Masturbation;Food;Children;Fingerfucking;LGBTQ Themes;Orgasm;Protectiveness;Roughness;Harry Potter;Family;Supernatural Elements;Holidays;Getting Together;Confessions;Graphic Descriptions of Injuries;Sweet;Winter Soldier;Rape/Non-con Elements;Dubious Consent;Implied/Referenced Abuse;Homophobia;Science Fiction & Fantasy;Loss;Injury;OC - Character;OCs;Music;depictions of violence;noncon;Grief;Iron Man;Captain America - Character;no beta we die like men;Abuse;Trauma;Spoilers;Modern AU;Pregnancy;Draco Malfoy;Fingering;High School;Trans Character;Illnesses;Bakugou Katsuki;Midoriya Izuku;Kink;Language;Marriage;Feelings;Porn;Fantasy elements;Min Yoongi | Suga;Jeon Jungkook;Kim Taehyung | V;Park Jimin (BTS);Sherlock Holmes;Kisses;Oneshot;Dean Winchester (Mentioned);Canon Typical Violence;Hurt;Character Study;Mythical Beings & Creatures;Gay;LGBTQ Character;Bisexuality;Natasha Romanoff;Canon Divergence;No Beta;slowburn;Parenthood;OC;Mentions of Blood;mentions of abuse;Families of Choice;D/s;dubcon;Anal;Major character death - Freeform;Original Male Character;PTSD;Child Abuse;Tooth Rotting Fluff;Original Character(s) - Character;More tags to be added;Sickness;Illness;Sam Winchester;Castiel/Dean Winchester;Castiel (Supernatural);Porn Without Plot;Bucky Barnes;slight angst;Mourning;Yearning;Minor Angst;Some Fluff;Mental Illness;Alternate Canon;Fluffy;Cuddling;Sadness;Consent;Destiel;Humour;Light-Hearted;Some angst;Hurt and comfort;injuries;One-Sided Relationship;Unbeta'd;Rated T for language;Enemies;lots of feelings;Tension;Drugging;crackfic;Fix It;Plot What Plot;Deviates From Canon;One-Shot;Relationship(s);Mentions of Violence;Юмор;John;Original Female Character (minor);School;order 66 & RotS canon violence;romantic;Hermine Granger;Graphic Violence;Vaginal;really this is so fluffy with sugary sweetness you'll get a toothache;Trans;oral sex (male receiving);dealing with grief;Mostly Canon Compliant;Original Character - Freeform;OFC;Mention of blood;Non-Consensual;Consent Issues;Food mention;lots of swearing;unbetaed;No beta we die like mne;Black Widow;Minor Spoilers
Canon Related;0;0;0;0;0;0;0;0;13084;0;0;0;0;8929;0;13156;0;0;0;0;0;0;0;2290;0;0;0;0;0;0;0;15540;0;1261;0;0;0;0;0;0;0;0;0;0;0;21197;0;0;0;0;0;0;0;0;1494;0;0;0;0;13751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5142;3405;3960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Love;0;0;0;0;0;0;0;0;58578;0;0;0;0;0;0;150636;0;0;0;0;0;0;0;25548;179612;57202;0;50045;68462;0;0;0;123926;0;0;0;0;0;0;0;0;0;0;0;0;104811;0;0;0;0;0;0;0;0;14311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15084;16141;15361;15706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steve Rogers;0;0;0;12812;0;0;0;0;15913;0;0;0;0;11669;10413;33090;0;0;0;0;0;0;0;0;0;0;7946;8735;0;0;0;0;0;196447;89222;115736;106757;67337;0;0;0;7823;0;0;0;23979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natasha Romanov (Marvel);0;0;0;8528;0;0;0;0;10974;0;0;0;0;7737;0;19762;0;0;0;0;0;0;0;0;0;0;5501;6198;0;0;0;0;0;89202;123836;77324;54916;74700;0;0;0;5490;0;0;0;15507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tony Stark;0;0;0;12042;0;0;0;0;18035;0;0;0;0;11311;0;32653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115943;77407;194796;57047;65155;0;0;0;0;0;0;0;24171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
James "Bucky" Barnes;0;0;0;9735;0;0;0;0;11469;0;0;0;0;9216;8097;26206;0;6998;0;0;0;0;0;0;0;0;0;7052;0;0;0;0;0;106734;54916;56970;145403;39759;0;0;0;0;0;0;0;17672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clint Barton;0;0;0;6789;0;0;0;0;8791;0;0;0;0;5798;4572;15423;0;0;0;0;0;0;0;0;0;0;4226;4524;0;0;0;0;0;67312;74700;65085;39759;101429;0;0;0;5126;0;0;0;11324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Domestic Fluff;0;0;11229;0;0;0;0;0;15215;0;0;0;0;0;38865;97726;0;0;0;0;0;0;0;5480;0;0;0;16553;11264;0;0;0;0;5143;0;4828;4688;0;183003;0;0;0;0;0;0;12731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7205;0;0;0;0;0;0;0;0;0;0;20744;0;0;0;0;0;0;0;11870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4598;4722;0;4221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
One Shot;0;0;0;19022;0;0;0;0;20356;0;0;0;0;0;19628;84536;0;20035;0;0;0;0;0;7300;0;0;0;0;21706;0;0;0;0;0;0;0;0;0;0;246911;0;0;0;0;0;41120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4205;0;0;0;0;0;0;0;0;0;0;0;5598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4935;5593;0;0;0;0;0;0;0;4393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3557;4275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Post-Canon;0;0;0;0;0;0;0;0;21510;10453;0;0;0;15059;23633;40062;0;0;0;0;0;0;0;5055;0;0;0;10254;12366;0;0;0;0;0;0;0;0;0;0;0;179531;0;0;0;0;26011;0;0;0;0;0;0;0;0;3659;0;0;0;0;16576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Humor;0;0;0;34486;0;0;0;0;0;0;0;0;0;0;0;143223;0;0;0;0;0;0;0;15868;0;0;0;0;70885;0;34975;0;0;13240;9254;14857;0;0;0;0;0;278151;36545;0;0;44025;0;0;0;0;0;0;0;0;10300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9474;0;0;0;0;0;0;0;0;0;0;0;13779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crack;0;0;0;10397;0;0;0;0;0;0;0;0;0;10103;0;33055;0;0;0;0;10934;0;0;0;0;0;0;0;0;0;0;0;0;5314;3601;5944;3497;0;0;0;0;31569;122269;0;0;9389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4330;5814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3665;2306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rough Sex;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31420;0;0;0;0;0;6542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117894;0;0;0;0;0;0;0;0;40314;45055;4563;0;0;0;0;0;0;0;0;0;20546;22071;0;0;0;0;0;0;0;0;0;0;0;19655;0;0;0;0;0;0;0;0;0;11388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18217;0;0;0;20982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2647;0;0;0;0;0;0;0;2678;3432;2938;2969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Drugs;0;0;0;0;0;0;0;0;18297;0;0;0;0;0;0;15702;0;0;0;0;0;0;0;7414;0;11092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21685;30406;0;0;0;0;0;0;0;12049;6587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4239;0;0;0;0;34297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4001;4155;3981;4020;5163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angst;0;0;0;0;0;0;0;0;313698;129505;0;0;0;122636;0;354873;0;0;0;0;0;0;0;55656;0;0;0;321695;117851;0;0;0;0;41620;0;42367;0;0;0;0;0;0;0;0;0;1014138;0;0;0;0;0;109768;0;0;0;0;0;0;0;0;0;0;0;240322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40105;41906;39757;40767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Art;0;0;0;5270;0;0;0;0;0;0;0;0;0;0;0;10516;0;0;0;0;0;0;0;1865;0;0;0;0;0;0;0;0;0;3751;0;2860;2656;0;0;0;0;0;0;0;0;5236;29236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1492;1279;1531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blood;0;0;0;0;0;0;0;34759;44854;0;0;0;0;0;0;27092;0;0;0;0;0;0;0;13371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63777;0;98481;0;0;0;0;0;0;10627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6268;0;0;0;0;0;0;0;6307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Swearing;0;0;0;0;0;0;0;0;12240;0;0;0;0;8512;0;25310;0;0;0;0;9296;0;0;0;0;8220;0;8812;0;9551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20415;0;0;86916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23080;17917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alternate Universe - Canon;0;0;0;41989;0;0;0;0;53006;0;0;0;0;410628;0;71153;0;0;0;0;28285;0;0;19525;0;29936;0;27975;0;0;0;0;0;16248;10691;15850;12621;0;0;0;0;0;0;0;0;77820;0;0;0;0;0;0;0;0;12439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Modern Era;0;0;280378;27867;0;0;0;0;18279;0;0;0;0;0;21680;67441;0;0;0;0;0;0;0;0;0;15974;0;0;17130;0;0;0;0;7480;0;0;0;0;0;0;0;0;0;0;0;28733;0;0;0;0;17210;0;0;0;0;0;0;23978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angst and Hurt/Comfort;0;0;0;0;0;0;0;0;30703;23465;0;0;0;10620;0;14665;0;0;0;0;0;0;0;4700;0;0;0;20114;0;0;0;0;0;0;0;2999;0;0;0;0;0;0;0;0;0;37232;0;0;0;0;0;109767;0;0;3305;0;0;0;0;0;0;0;0;23920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3256;3390;0;0;0;0;0;0;0;2893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
